N8_17_1 SAM6_GTB1_TAC10_CH5
N8_17_2 SAM6_GTB1_TAC10_CH13
N8_18_1 SAM6_GTB1_TAC10_CH6
N8_18_2 SAM6_GTB1_TAC10_CH14
N8_19_1 SAM6_GTB1_TAC10_CH7
N8_19_2 SAM6_GTB1_TAC10_CH15
N8_20_1 SAM6_GTB1_TAC10_CH8
N8_20_2 SAM6_GTB1_TAC10_CH16
N9_1_1 SAM5_GTB0_TAC1_CH1
N9_1_2 SAM5_GTB0_TAC1_CH9
N9_2_1 SAM5_GTB0_TAC1_CH2
N9_2_2 SAM5_GTB0_TAC1_CH10
N9_3_1 SAM5_GTB0_TAC1_CH3
N9_3_2 SAM5_GTB0_TAC1_CH11
N9_4_1 SAM5_GTB0_TAC1_CH4
N9_4_2 SAM5_GTB0_TAC1_CH12
N9_5_1 SAM5_GTB0_TAC1_CH5
N9_5_2 SAM5_GTB0_TAC1_CH13
N9_6_1 SAM5_GTB0_TAC1_CH6
N9_6_2 SAM5_GTB0_TAC1_CH14
N9_7_1 SAM5_GTB0_TAC1_CH7
N9_7_2 SAM5_GTB0_TAC1_CH15
N9_8_1 SAM5_GTB0_TAC1_CH8
N9_8_2 SAM5_GTB0_TAC1_CH16
N9_9_1 SAM5_GTB0_TAC2_CH1
N9_9_2 SAM5_GTB0_TAC2_CH9
N9_10_1 SAM5_GTB0_TAC2_CH2
N9_10_2 SAM5_GTB0_TAC2_CH10
N9_11_1 SAM5_GTB0_TAC2_CH3
N9_11_2 SAM5_GTB0_TAC2_CH11
N9_12_1 SAM5_GTB0_TAC2_CH4
N9_12_2 SAM5_GTB0_TAC2_CH12
N9_13_1 SAM5_GTB0_TAC2_CH5
N9_13_2 SAM5_GTB0_TAC2_CH13
N9_14_1 SAM5_GTB0_TAC2_CH6
N9_14_2 SAM5_GTB0_TAC2_CH14
N9_15_1 SAM5_GTB0_TAC2_CH7
N9_15_2 SAM5_GTB0_TAC2_CH15
N9_16_1 SAM5_GTB0_TAC2_CH8
N9_16_2 SAM5_GTB0_TAC2_CH16
N9_17_1 SAM5_GTB0_TAC5_CH1
N9_17_2 SAM5_GTB0_TAC5_CH9
N9_18_1 SAM5_GTB0_TAC5_CH2
N9_18_2 SAM5_GTB0_TAC5_CH10
N9_19_1 SAM5_GTB0_TAC5_CH3
N9_19_2 SAM5_GTB0_TAC5_CH11
N9_20_1 SAM5_GTB0_TAC5_CH4
N9_20_2 SAM5_GTB0_TAC5_CH12
N10_1_1 SAM5_GTB0_TAC3_CH1
N10_1_2 SAM5_GTB0_TAC3_CH9
N10_2_1 SAM5_GTB0_TAC3_CH2
N10_2_2 SAM5_GTB0_TAC3_CH10
N10_3_1 SAM5_GTB0_TAC3_CH3
N10_3_2 SAM5_GTB0_TAC3_CH11
N10_4_1 SAM5_GTB0_TAC3_CH4
N10_4_2 SAM5_GTB0_TAC3_CH12
N10_5_1 SAM5_GTB0_TAC3_CH5
N10_5_2 SAM5_GTB0_TAC3_CH13
N10_6_1 SAM5_GTB0_TAC3_CH6
N10_6_2 SAM5_GTB0_TAC3_CH14
N10_7_1 SAM5_GTB0_TAC3_CH7
N10_7_2 SAM5_GTB0_TAC3_CH15
N10_8_1 SAM5_GTB0_TAC3_CH8
N10_8_2 SAM5_GTB0_TAC3_CH16
N10_9_1 SAM5_GTB0_TAC4_CH1
N10_9_2 SAM5_GTB0_TAC4_CH9
N10_10_1 SAM5_GTB0_TAC4_CH2
N10_10_2 SAM5_GTB0_TAC4_CH10
N10_11_1 SAM5_GTB0_TAC4_CH3
N10_11_2 SAM5_GTB0_TAC4_CH11
N10_12_1 SAM5_GTB0_TAC4_CH4
